CAMPAIGN_ID,UPDATE_DATE,NAME
1034670233,2022-07-30,campaign_name_1034670233
16548613620,2022-07-11,campaign_name_16548613620
1012855394,2022-09-26,campaign_name_1012855394
11654183423,2022-09-26,campaign_name_11654183423
12302182440,2022-12-21,campaign_name_12302182440
9611555925,2023-03-08,campaign_name_9611555925
10586966766,2022-12-03,campaign_name_10586966766
1035757333,2022-12-21,campaign_name_1035757333
9816569721,2022-07-17,campaign_name_9816569721
16135846000,2022-06-19,campaign_name_16135846000
16193384549,2022-12-03,campaign_name_16193384549
1707736946,2022-06-19,campaign_name_1707736946
211552857,2022-07-30,campaign_name_211552857
9985023596,2023-03-30,campaign_name_9985023596
15251257583,2022-07-12,campaign_name_15251257583
9611555898,2022-09-14,campaign_name_9611555898
11654183162,2022-08-04,campaign_name_11654183162
15584612537,2022-06-19,campaign_name_15584612537
16976496847,2022-09-08,campaign_name_16976496847
9611555928,2022-08-06,campaign_name_9611555928
16193384549,2022-06-30,campaign_name_16193384549
16682907088,2022-09-23,campaign_name_16682907088
9816569721,2023-01-05,campaign_name_9816569721
16705812708,2022-12-11,campaign_name_16705812708
16135846000,2022-12-18,campaign_name_16135846000
16735901251,2022-10-28,campaign_name_16735901251
10586966766,2022-07-31,campaign_name_10586966766
921816410,2022-08-17,campaign_name_921816410
16735901251,2022-06-18,campaign_name_16735901251
12550155577,2023-01-13,campaign_name_12550155577
981401981,2022-07-29,campaign_name_981401981
16101107713,2023-01-16,campaign_name_16101107713
9611555889,2022-06-27,campaign_name_9611555889
9645632783,2022-09-26,campaign_name_9645632783
16560346313,2022-08-17,campaign_name_16560346313
1445774046,2022-06-16,campaign_name_1445774046
18598316060,2022-10-30,campaign_name_18598316060
16529545136,2022-12-14,campaign_name_16529545136
9985023593,2023-03-24,campaign_name_9985023593
14429045163,2023-01-12,campaign_name_14429045163
9656161858,2022-11-09,campaign_name_9656161858
9611555892,2022-09-10,campaign_name_9611555892
16193384549,2022-06-09,campaign_name_16193384549
10586966766,2023-01-26,campaign_name_10586966766
9985023596,2022-11-23,campaign_name_9985023596
16131104619,2022-06-25,campaign_name_16131104619
16682907088,2022-10-08,campaign_name_16682907088
9611555892,2022-09-30,campaign_name_9611555892
16096245591,2022-09-28,campaign_name_16096245591
9611555898,2022-09-02,campaign_name_9611555898
16682907088,2022-09-05,campaign_name_16682907088
18862348236,2023-02-24,campaign_name_18862348236
16985478467,2022-06-03,campaign_name_16985478467
9611555892,2022-12-17,campaign_name_9611555892
11652085410,2022-07-17,campaign_name_11652085410
16193384549,2023-02-18,campaign_name_16193384549
8688544442,2022-10-02,campaign_name_8688544442
10586966769,2022-11-10,campaign_name_10586966769
8687082217,2023-01-21,campaign_name_8687082217
16193384549,2022-07-09,campaign_name_16193384549
9656161858,2022-08-10,campaign_name_9656161858
16193384549,2022-12-26,campaign_name_16193384549
8686907662,2023-01-23,campaign_name_8686907662
1730637502,2022-08-17,campaign_name_1730637502
16193384549,2022-09-30,campaign_name_16193384549
9611555928,2022-09-10,campaign_name_9611555928
9647872445,2022-12-06,campaign_name_9647872445
985776624,2022-12-21,campaign_name_985776624
16107460064,2022-08-20,campaign_name_16107460064
18597675280,2022-10-20,campaign_name_18597675280
15277075562,2022-09-09,campaign_name_15277075562
9611555889,2022-12-11,campaign_name_9611555889
9611555889,2023-01-09,campaign_name_9611555889
12772538774,2022-09-09,campaign_name_12772538774
16096245591,2022-10-10,campaign_name_16096245591
9731196168,2022-11-17,campaign_name_9731196168
1365803496,2022-08-17,campaign_name_1365803496
16334770689,2022-12-21,campaign_name_16334770689
15942125913,2022-12-19,campaign_name_15942125913
